id1,id2,similarity,relatedness,contextual_similarity,FT-cbow,FT-SG,w2v-SG,w2v-cbow,Path-based,LV,NW,Cosine_Similarity
minx,ymax,0.125,0.7028,0.0404,0.58,0.79,0.71,0.27,0.83,0.25,0.62,0.5783829092979431
segments,annotations,0.25,0.3128,NAN,0.27,0.39,0.38,0.21,0.74,0.18,0.45,0.09008792787790298
cols,domains,0.25,0.402,0.1819,0.19,0.47,0.13,0.04,0.72,0.29,0.43,0.11100993305444717
ELEMENT_ARRAY_BUFFER,bufferData,0.4772,0.8583,0.875,0.51,0.75,0.9,0.52,0.55,0.0,0.25,-0.19461679458618164
cfg,conf,0.9667,0.896,0.9428,0.43,0.66,0.37,0.25,0.73,0.25,0.5,0.3621405363082886
userA,userB,0.4822,0.9256,0.7958,0.95,0.94,0.95,0.4,0.97,0.8,0.9,0.9967271089553833
columns,datasets,0.1922,0.4199,NAN,0.48,0.53,0.62,0.09,0.71,0.12,0.5,0.23440836369991302
limit,exponent,0.1818,0.3383,NAN,0.19,0.5,0.41,0.01,0.77,0.12,0.38,0.08068718761205673
oDomRef,structuralType,0.077,0.0,NAN,0.14,0.34,0.27,0.2,0.59,0.0,0.25,0.10888008773326874
camera,texture,0.0578,0.1999,NAN,0.23,0.56,0.6,0.35,0.62,0.14,0.5,0.4363306760787964
selected,active,0.7322,0.87,0.892,0.37,0.54,0.51,0.33,0.77,0.12,0.44,0.23933209478855133
rows,columns,0.0715,0.87,0.2155,0.72,0.78,0.81,0.34,0.86,0.29,0.43,0.6091053485870361
nextTick,notification,0.175,0.298,NAN,0.32,0.43,0.39,0.02,0.33,0.25,0.46,0.09364209324121475
ui,secret,0.0625,0.0684,NAN,0.05,0.5,0.09,0.33,0.54,0.0,0.17,0.06929299235343933
objects,records,NAN,NAN,0.8931,0.5,0.58,0.59,0.36,0.77,0.14,0.57,0.3125825524330139
objects,images,NAN,NAN,0.8986,0.33,0.58,0.44,-0.21,0.73,0.14,0.5,0.1314464956521988
items,images,NAN,NAN,0.8436,0.39,0.6,0.4,-0.09,0.83,0.33,0.58,0.11653061211109161
canvas,image,NAN,NAN,0.9397,0.47,0.68,0.6,0.59,0.71,0.0,0.42,0.25002992153167725
indices,positions,NAN,NAN,0.983,0.29,0.59,0.47,0.37,0.71,0.22,0.5,0.3261386454105377
files,filenames,NAN,NAN,0.9186,0.8,0.76,0.76,0.34,0.78,0.56,0.56,0.6479793787002563
margin,padding,NAN,NAN,0.9369,0.62,0.74,0.78,0.62,0.87,0.43,0.64,0.3852829933166504
$behaviour,foldingRules,NAN,NAN,0.0831,0.51,0.64,0.89,0.64,NAN,0.08,0.46,0.15317486226558685
foo,abc,NAN,NAN,0.8196,0.44,0.78,0.58,0.4,0.76,0.0,0.5,0.29002827405929565
g,r,NAN,NAN,0.8674,0.53,0.84,0.75,0.68,0.71,0.0,0.5,0.2359551191329956
err,er,NAN,NAN,0.8889,0.74,0.8,0.76,0.71,0.9,0.67,0.67,0.4180513024330139
res,resp,NAN,NAN,0.9224,0.68,0.81,0.63,0.52,0.9,0.75,0.75,0.40238648653030396
gray,silver,NAN,NAN,0.1147,0.4,0.77,0.83,0.22,0.82,0.0,0.33,0.12848088145256042
get,facets,NAN,NAN,0.208,0.09,0.48,0.31,-0.0,0.3,0.33,0.42,0.021957246586680412
files,images,NAN,NAN,0.807,0.47,0.6,0.49,-0.02,0.78,0.33,0.58,0.3029380142688751
b01,a03,NAN,NAN,0.0824,0.82,0.92,0.88,0.2,0.96,0.33,0.67,0.7559254765510559
styleSelectLabel,tag_h4,NAN,NAN,0.1377,0.15,0.38,0.64,0.39,NAN,0.06,0.22,0.11954409629106522
a24,a30,NAN,NAN,0.734,0.87,0.95,0.81,0.25,0.97,0.33,0.67,0.7777630686759949
lightgreen,lightgrey,NAN,NAN,0.2172,0.94,0.97,0.95,0.76,NAN,0.8,0.85,0.8719988465309143
destroy,dispose,NAN,NAN,0.3022,0.48,0.63,0.5,0.5,0.85,0.29,0.64,0.35299810767173767
on,immediate,NAN,NAN,0.208,0.1,0.51,0.25,-0.03,0.42,0.0,0.11,0.22012409567832947
equals,same,NAN,NAN,0.7225,0.58,0.68,0.67,0.43,0.65,0.17,0.42,0.32800427079200745
wrapper,scroller,NAN,NAN,0.0404,0.39,0.52,0.46,0.62,0.69,0.38,0.62,0.26453468203544617
builtinConstants,buildinConstants,NAN,NAN,0.9023,0.91,0.92,0.93,0.34,0.97,0.94,0.97,0.8337319493293762
